timestamp,equity
2026-05-03T20:50:39.085000+00:00,12.50
2026-05-03T20:52:41.174000+00:00,55.00
2026-05-03T20:54:48.864000+00:00,32.50
2026-05-03T20:56:48.940000+00:00,21.25
2026-05-03T20:58:51.547000+00:00,-11.25
2026-05-03T21:00:54.094000+00:00,-3.75
2026-05-03T21:02:57.392000+00:00,35.00
2026-05-03T21:04:57.510000+00:00,112.50
2026-05-03T21:06:58.603000+00:00,88.75
2026-05-03T21:08:58.815000+00:00,126.25
2026-05-03T21:11:00.451000+00:00,148.75
2026-05-03T21:13:37.922000+00:00,166.25
2026-05-03T21:15:37.951000+00:00,158.75
2026-05-03T21:17:38.032000+00:00,171.25
2026-05-03T21:19:40.232000+00:00,213.75
2026-05-03T21:21:42.178000+00:00,246.25
2026-05-03T21:23:53.699000+00:00,238.75
2026-05-03T21:25:54.021000+00:00,215.00
2026-05-03T21:28:03.422000+00:00,192.50
2026-05-03T21:30:06.034000+00:00,181.25
2026-05-03T21:32:06.937000+00:00,173.75
2026-05-03T21:34:10.738000+00:00,203.75
2026-05-03T21:36:11.819000+00:00,236.25
2026-05-03T21:38:12.364000+00:00,275.00
2026-05-03T21:40:13.532000+00:00,287.50
2026-05-03T21:42:15.824000+00:00,300.00
2026-05-03T21:44:18.519000+00:00,387.50
2026-05-03T21:46:19.026000+00:00,388.75
2026-05-03T21:48:20.094000+00:00,333.75
2026-05-03T21:48:37.795000+00:00,348.75
